"date","chart_id","series_id","series_name","country","value","axis","unit","source","source_url","frequency","source_note"
"2018-01-02","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.206,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-03","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.202,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-04","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.206,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-05","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.204,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-08","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.197,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-09","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.193,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-10","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.199,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-11","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.202,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-12","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.214,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-16","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.223,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-17","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.22,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-18","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.224,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-19","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.226,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-22","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.224,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
"2018-01-23","scenario_eurusd_real_rates","eurusd","EURUSD","Euro Area / US",1.225,"left","","ECB Data Portal","https://data.ecb.europa.eu/data/datasets/EXR/EXR.D.USD.EUR.SP00.A","daily",""
